Player,Team,Age,Matches played,Minutes played,Assists,Successful defensive actions per 90,Aerial duels per 90,"Aerial duels won, %",Interceptions per 90,Fouls per 90,Shots per 90,Recieved Passes P/90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Progressive passes per 90,"Accurate progressive passes, %"
CM1,Elgin City,32.0,34.0,3132.0,0.0,8.87,4.42,49.66,5.06,1.13,0.67,16.92,36.86,78.83,12.9,63.36,0.15,6.04,58.59,5.95,67.69
CM2,Elgin City,23.0,17.0,1574.0,1.0,12.35,2.4,42.86,5.03,1.49,1.49,22.01,42.14,69.61,19.78,59.54,0.17,9.09,52.2,9.15,65.0
CM3,Elgin City,26.0,19.0,1527.0,0.0,8.99,4.19,39.68,3.73,1.2,0.93,21.37,37.54,77.66,14.18,64.32,0.2,8.25,56.45,7.79,79.49
CM4,Elgin City,20.0,29.0,1798.0,2.0,6.56,3.62,32.31,2.56,0.5,1.33,12.07,22.81,70.98,5.78,50.96,0.11,2.34,57.14,3.28,54.24
CM5,Elgin City,26.0,31.0,2832.0,3.0,6.96,5.61,28.65,3.02,1.15,1.61,15.43,26.65,60.1,11.82,50.56,0.39,6.66,44.33,6.07,74.59
CM6,Elgin City,35.0,29.0,2436.0,1.0,10.76,5.24,56.39,5.64,1.26,0.63,12.42,30.43,72.54,16.4,58.89,0.04,4.85,43.09,6.7,54.12
CM7,Hamilton Academical,24.0,25.0,2176.0,2.0,8.86,3.86,55.41,4.12,1.1,2.14,31.39,50.42,80.46,16.43,67.3,0.52,10.01,61.98,8.34,79.38
CM8,Falkirk,28.0,35.0,3094.0,5.0,10.22,3.18,58.49,4.76,1.5,1.53,42.06,62.86,84.6,24.9,77.02,0.3,13.27,76.75,14.17,84.57
CM9,Hamilton Academical,27.0,20.0,1597.0,2.0,10.8,4.13,47.37,4.28,1.52,0.65,28.91,43.19,78.19,17.61,65.84,0.43,10.51,67.59,9.42,77.69
CM10,Kelty Hearts,34.0,28.0,2382.0,3.0,9.42,1.43,64.86,4.61,1.43,0.62,34.55,55.72,79.33,24.0,63.17,0.27,13.69,60.06,12.76,79.03
CM11,Annan Athletic,39.0,35.0,3227.0,5.0,9.36,1.86,49.21,3.81,1.0,0.86,30.04,49.06,81.94,21.41,75.45,0.32,8.51,73.96,12.79,75.75
CM12,Annan Athletic,27.0,23.0,1857.0,3.0,8.9,2.38,54.35,3.93,1.66,1.4,31.24,51.26,86.38,15.26,77.29,0.67,7.71,69.8,8.64,78.44
CM13,Peterhead,25.0,29.0,2493.0,4.0,11.59,2.85,49.37,5.34,1.84,0.51,34.19,55.67,84.82,17.33,70.0,0.29,8.92,69.64,8.19,84.58
CM14,Inverness CT,23.0,14.0,1180.0,1.0,11.21,3.05,60.0,4.96,0.99,0.61,25.09,42.1,83.33,16.55,70.05,0.15,10.07,72.73,8.31,75.23
CM15,Queen of the South,23.0,26.0,2138.0,2.0,11.37,3.16,34.67,4.46,1.22,0.76,27.66,47.4,83.21,13.89,67.88,0.08,7.03,67.07,7.07,72.62
CM16,Alloa Athletic,29.0,34.0,3190.0,0.0,11.13,1.9,32.81,5.39,0.74,1.31,19.79,37.8,77.72,14.4,63.84,0.24,8.07,61.25,7.17,73.86
CM17,Peterhead,17.0,15.0,664.0,3.0,6.64,2.17,31.25,2.71,1.08,1.22,18.98,29.95,74.66,9.35,59.42,0.14,3.8,67.86,4.47,69.7
CM18,Stranraer,36.0,29.0,2531.0,3.0,8.85,9.78,55.27,4.98,0.82,0.6,6.08,19.45,66.54,10.1,53.87,0.14,3.56,52.0,4.3,64.46
CM19,East Fife,30.0,31.0,2299.0,2.0,11.47,5.68,42.76,5.48,2.11,0.39,10.96,27.01,69.86,12.57,56.39,0.12,5.6,57.34,6.11,68.59
CM20,Clyde,19.0,16.0,1486.0,1.0,8.18,3.51,41.38,3.51,1.64,1.45,17.75,31.62,69.16,13.14,52.07,0.24,7.27,55.0,7.21,64.71
CM21,Bonnyrigg Rose Athletic,23.0,8.0,279.0,0.0,11.29,4.19,30.77,4.84,0.65,1.94,13.23,24.84,62.34,8.39,50.0,0.0,3.55,45.45,5.48,58.82
CM22,Dumbarton,26.0,31.0,1744.0,6.0,6.3,3.56,26.09,2.79,1.03,2.79,15.02,27.97,66.97,8.46,48.78,0.62,4.59,47.19,4.49,71.26
League Two Average,,26.875,24.9375,2021.0625,2.625,9.724375,3.543125,45.87875,4.373125,1.2706250000000001,1.17375,24.18375,41.02000000000001,76.844375,15.236875,63.648125,0.28312500000000007,7.884999999999999,62.854375000000005,8.0575,73.668125
